# 備品貸出管理サイトの月次（つくりもの）。1 行 = 1 日ぶんの数字。
# 数字を取り直したときは、行を書き換えずに足す（取得日時が新しいほうが後から取ったもの）。
# 分からない日は空欄のまま。0 と混ぜない。
日付	セッション	ページビュー	平均滞在秒	取得日時	取得元
2026-08-01	412	1180	96	2026-08-15 09:12	example-analytics
2026-08-02	268	702	88	2026-08-15 09:12	example-analytics
2026-08-03	934	3120	121	2026-08-15 09:12	example-analytics
2026-08-04	1012	3480	118	2026-08-15 09:12	example-analytics
2026-08-05	988	3301	115	2026-08-15 09:12	example-analytics
2026-08-06	1043	3610	127	2026-08-15 09:12	example-analytics
2026-08-07	902	2980	109	2026-08-15 09:12	example-analytics
2026-08-08	351	884	74	2026-08-15 09:12	example-analytics
2026-08-09	302	760	81	2026-08-15 09:12	example-analytics
2026-08-10				2026-08-15 09:12	example-analytics
2026-08-11	1120	3902	132	2026-08-15 09:12	example-analytics
2026-08-12	1078	3744	129	2026-08-15 09:12	example-analytics
2026-08-13	996	3402	124	2026-08-15 09:12	example-analytics
2026-08-14	874	2905	112	2026-08-15 09:12	example-analytics
2026-08-13	1004	3441	124	2026-08-20 09:05	example-analytics
