# 同じサイトの様子（つくりもの）。表示までの速さと、出てしまった見つからないページの数。
# 8/10 は取れていない。取れなかった日は行ごと落とさず、値だけ空けてある。
日付	表示までのミリ秒	見つからないページ	壊れた画像	取得日時	取得元
2026-08-01	1840	3	0	2026-08-15 09:20	example-pagespeed
2026-08-02	1795	2	0	2026-08-15 09:20	example-pagespeed
2026-08-03	2210	9	1	2026-08-15 09:20	example-pagespeed
2026-08-04	2680	14	1	2026-08-15 09:20	example-pagespeed
2026-08-05	2604	12	1	2026-08-15 09:20	example-pagespeed
2026-08-06	2712	15	2	2026-08-15 09:20	example-pagespeed
2026-08-07	2455	11	2	2026-08-15 09:20	example-pagespeed
2026-08-08	1902	4	0	2026-08-15 09:20	example-pagespeed
2026-08-09	1866	3	0	2026-08-15 09:20	example-pagespeed
2026-08-10				2026-08-15 09:20	example-pagespeed
2026-08-11	1710	1	0	2026-08-15 09:20	example-pagespeed
2026-08-12	1688	1	0	2026-08-15 09:20	example-pagespeed
2026-08-13	1702	2	0	2026-08-15 09:20	example-pagespeed
2026-08-14	1675	0	0	2026-08-15 09:20	example-pagespeed
