#! md-business:test-spec-tsv/v1
# タイトル: 会議室予約 検証シート（見本・大きめ）
# 文書番号: EXAMPLE-SHEET-0001
# 対象: 会議室予約サービス 1.0.0（架空）
# 版: 1.0.0
# ステータス: 実施中
#@ note これは見本です。結果 列の OK / NG は色分けの見え方を確かめるために置いた値で、誰かが確かめた記録ではありません。
#@ note No. 列は計算列（rowNumber）です。行を足しても番号は自動で振り直され、この列には打ち込めません。
#@ note 控えにしてある行が 2 件あります。表には出ませんが、ファイルには残っています。
#@ note 300 行あります。転がしたときの追従・下端の行の当たり判定・選択範囲の色・Ctrl+F の当たり方を見てください。
#@ rowid _id
#@ computed No. = rowNumber()
#@ style 結果 OK=#e7f6ec NG=#fcebec 保留=#fdf3e2
#@ colwidth 0=48 1=96 2=280 3=320 4=320 5=88 6=200 7=200
#@ align 1=center 5=center
#@ hidden r4b100000508f r4b1000010d2f
No.:number!	区分	項目:multiline!	手順:multiline!	期待結果:multiline!	結果:enum(OK|NG|保留|未実施)!	関連Issue:url	備考:multiline	_id
1	空き検索	4 人で 9 時台を探す	1. 人数に 4 を入れる\n2. 9:00〜10:00 を選ぶ\n3. 検索を押す	定員 4 人以上で空いている部屋だけが出る	OK			r4b1000000000
2	予約	10 時台を押さえる	1. 空き枠 10:00〜11:00 を選ぶ\n2. 会議の名前を入れる\n3. 確定を押す	予約番号が出て、自分の予約一覧に並ぶ	OK			r4b10000001f7
3	取り消し	自分の予約を取り消す	1. 自分の予約を開く\n2. 取り消しを押す	一覧から消え、その枠が空きに戻る	OK			r4b10000003ee
4	繰り返し	毎週 7 回	1. 繰り返しに毎週・7 回を選ぶ\n2. 確定を押す	7 件できて、まとめて一覧に出る	NG	https://example.com/issues/203	直っていない	r4b10000005e5
5	表示端末	いま使われている部屋	1. 使用中の部屋の端末を見る	会議の名前と終わる時刻が出て、赤く光る	OK			r4b10000007dc
6	権限	部屋を足す	1. 総務の画面で部屋を 1 つ足す\n2. 空き検索を開く	すぐに検索の対象になる	保留		確かめきれていない	r4b10000009d3
7	表示	長い会議の名前	1. 全角 90 文字の名前で予約する\n2. 一覧を開く	一覧では折り返さず、末尾を省いて出す	OK			r4b1000000bca
8	異常系	通信が切れたまま確定	1. 通信を切る\n2. 確定を押す	失敗が出る。押した内容は画面に残る	OK			r4b1000000dc1
9	空き検索	1 階で絞る	1. 階に 1 を入れる\n2. 検索を押す	1 階の部屋だけが出る。他の階は出ない	未実施			r4b1000000fb8
10	予約	会議の名前が空	1. 名前を入れずに確定を押す	確定できず、名前が要ると出る	OK			r4b10000011af
11	取り消し	他人の予約	1. 他人の予約を開く	取り消しの操作が出ない	OK			r4b10000013a6
