#! md-business:test-spec-tsv/v1
# タイトル: 申込み受付 検証シート（見本・小さめ）
# 文書番号: EXAMPLE-SHEET-0002
# 対象: 申込み受付フォーム 0.3.0（架空）
# 版: 0.3.0
# ステータス: 実施中
#@ note これは見本です。結果 列の値は見え方を確かめるために置いたもので、誰かが確かめた記録ではありません。
#@ note 手順 列にはセル内改行が入っています。行の高さの出方・編集中の折り返し・貼り付けたときの扱いを見てください。
#@ group 2-4 検証の中身
#@ colwidth 0=48 1=88 2=240 3=300 4=300 5=88 6=180 7=160
#@ align 0=right 5=center
#@ style 結果 OK=#e7f6ec NG=#fcebec 保留=#fdf3e2
No.:number!	区分	項目:multiline!	手順:multiline!	期待結果:multiline!	結果:enum(OK|NG|保留|未実施)!	関連Issue:url	備考:multiline
1	受付	申込みの控えが出る	1. 申込みフォームを送る\n2. 受付の画面を見る	受付番号が出て、控えを保存できる	OK		
2	受付	同じ内容をもう一度送る	1. 1 と同じ内容でもう一度送る	2 件目として受け付ける。前の件は消えない	OK		
3	受付	必須が空のまま送る	1. 連絡先を空にして送る	送れず、どこが足りないかが出る	OK		
4	通知	控えの写しが届く	1. 受付のあと、届いた控えを開く	受付番号と内容が入っている	NG	https://example.com/issues/31	差出人の名前が空
5	通知	宛先を間違えたとき	1. 届かない宛先で送る	受付自体は成立する。届かなかったことが画面に出る	保留		出方が端末で違う
6	訂正	受付のあとで内容を直す	1. 受付番号で開く\n2. 連絡先を直して保存する	直った内容で保存され、直した記録が残る	OK		
7	訂正	締切のあとに直す	1. 締切を過ぎた受付を開く\n2. 保存を押す	保存できず、締切を過ぎていると出る	未実施		締切の設定待ち
8	取り下げ	自分で取り下げる	1. 受付番号で開く\n2. 取り下げを押す	一覧から消える。控えは残る	OK		
9	一覧	絞り込みが効く	1. 状態で絞る\n2. 期間で絞る	両方の条件に合うものだけが出る	OK		
10	一覧	並べ替えが効く	1. 受付日を押す\n2. もう一度押す	昇順・降順が入れ替わる。絞り込みは外れない	未実施		
